Date	Time	CongHt
1/27/20	17:15	12.6
1/27/20	17:30	12.62
1/27/20	17:45	12.63
1/27/20	18:00	12.67
1/27/20	18:15	12.7
1/27/20	18:30	12.72
1/27/20	18:45	12.75
1/27/20	19:00	12.77
1/27/20	19:15	12.8
1/27/20	19:30	12.82
1/27/20	19:45	12.85
1/27/20	20:00	12.88
1/27/20	20:15	12.9
1/27/20	20:30	12.93
1/27/20	20:45	12.95
1/27/20	21:00	12.97
1/27/20	21:15	12.98
1/27/20	21:30	13
1/27/20	21:45	13.03
1/27/20	22:00	13.03
1/27/20	22:15	13.06
1/27/20	22:30	13.06
1/27/20	22:45	13.08
1/27/20	23:00	13.08
1/27/20	23:15	13.08
1/27/20	23:30	13.08
1/27/20	23:45	13.07
1/28/20	0:00	13.07
1/28/20	0:15	13.07
1/28/20	0:30	13.06
1/28/20	0:45	13.06
1/28/20	1:00	13.05
1/28/20	1:15	13.05
1/28/20	1:30	13.03
1/28/20	1:45	13.03
1/28/20	2:00	13.01
1/28/20	2:15	13.01
1/28/20	2:30	12.99
1/28/20	2:45	12.98
1/28/20	3:00	12.96
1/28/20	3:15	12.95
1/28/20	3:30	12.93
1/28/20	3:45	12.9
1/28/20	4:00	12.89
1/28/20	4:15	12.88
1/28/20	4:30	12.86
1/28/20	4:45	12.83
1/28/20	5:00	12.82
1/28/20	5:15	12.81
1/28/20	5:30	12.79
1/28/20	5:45	12.79
1/28/20	6:00	12.77
1/28/20	6:15	12.77
1/28/20	6:30	12.76
1/28/20	6:45	12.75
1/28/20	7:00	12.74
1/28/20	7:15	12.75
1/28/20	7:30	12.74
1/28/20	7:45	12.73
1/28/20	8:00	12.74
1/28/20	8:15	12.73
1/28/20	8:30	12.73
1/28/20	8:45	12.73
1/28/20	9:00	12.73
1/28/20	9:15	12.71
1/28/20	9:30	12.72
1/28/20	9:45	12.73
1/28/20	10:00	12.71
1/28/20	10:15	12.7
1/28/20	10:30	12.71
1/28/20	10:45	12.71
1/28/20	11:00	12.68
1/28/20	11:15	12.7
1/28/20	11:30	12.69
1/28/20	11:45	12.69
1/28/20	12:00	12.67
1/28/20	12:15	12.68
1/28/20	12:30	12.66
1/28/20	12:45	12.66
1/28/20	13:00	12.65
1/28/20	13:15	12.63
1/28/20	13:30	12.63
1/28/20	13:45	12.64
1/28/20	14:00	12.63
1/28/20	14:15	12.61
1/28/20	14:30	12.59
1/28/20	14:45	12.59
1/28/20	15:00	12.58
1/28/20	15:15	12.59
1/28/20	15:30	12.59
1/28/20	15:45	12.59
1/28/20	16:00	12.59
1/28/20	16:15	12.6
1/28/20	16:30	12.6
1/28/20	16:45	12.61
1/28/20	17:00	12.62
1/28/20	17:15	12.61
1/28/20	17:30	12.63
